Question_num,Question_Chinese,Question_English,SubQuestion_num,SubQuestion_Chinese,SubQuestion_English,count_yes,count_1,count_2,count_3,count_4,count_5,mean,std
1,问卷协议,consent statement,1,我已阅读问卷协议，自愿参与本次调查。,I have read the consent statement and agree to participate in this survey. ,81,,,,,,,
2,您在申请时的学历？,What is your highest academic qualification before enrollment of the program you applied?,1,本科,undergraduate,63,,,,,,,
2,您在申请时的学历？,What is your highest academic qualification before enrollment of the program you applied?,2,硕士,master,16,,,,,,,
2,您在申请时的学历？,What is your highest academic qualification before enrollment of the program you applied?,3,其他,other,2,,,,,,,
3,您的毕业年份？,What is your graduation year?,1,[填空],[fill the blank],,,,,,,,
4,您的毕业院校？,Where do you graduate from?,1,985院校或中科院,Project 985 universities or Chinese Academy of Science (CAS),19,,,,,,,
4,您的毕业院校？,Where do you graduate from?,2,211院校,Project 211 universities,17,,,,,,,
4,您的毕业院校？,Where do you graduate from?,3,中国大陆其他院校,Other universities in mainland China,19,,,,,,,
4,您的毕业院校？,Where do you graduate from?,4,海外高校,Oversea universities,11,,,,,,,
5,您的申请类型？,What are you applying for?,1,申请硕士,Apply for a Master's program,69,,,,,,,
5,您的申请类型？,What are you applying for?,2,申请博士,Apply for a Ph.D. program,20,,,,,,,
5,您的申请类型？,What are you applying for?,3,其他,Others,0,,,,,,,
6,您收到了哪些录取？,Which university has offered you an admission?,1,[填空],[fill the blank],,,,,,,,
7,您计划选择哪个录取？,Which university do you plan to enroll in?,1,[填空],[fill the blank],,,,,,,,
8,在您选择留学院校和专业的过程中，以下学术因素是否影响了您的决策，重要性如何?,"Did the following academic factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,学校的综合排名和国际声誉,The university's overall ranking and international reputation,,0,2,9,38,32,4.235,0.746
8,在您选择留学院校和专业的过程中，以下学术因素是否影响了您的决策，重要性如何?,"Did the following academic factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,学校的专业排名和专业声誉,The university's ranking and international reputation in the field,,0,2,7,44,28,4.21,0.702
8,在您选择留学院校和专业的过程中，以下学术因素是否影响了您的决策，重要性如何?,"Did the following academic factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,学校和专业在中国的声誉和认可度,The reputation and recognition of the university and program in China,,0,6,12,42,21,3.963,0.843
8,在您选择留学院校和专业的过程中，以下学术因素是否影响了您的决策，重要性如何?,"Did the following academic factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,学校或学院的历史学术地位,The historical academic reputation of the university or department,,1,7,29,32,10,3.544,0.874
8,在您选择留学院校和专业的过程中，以下学术因素是否影响了您的决策，重要性如何?,"Did the following academic factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,学校的国际学术合作和交流活动（如参加国际会议、访问、交换等）,"The university's international academic cooperation and exchange activities (such as participation in international conferences, visits, exchanges, etc.).",,2,14,28,25,11,3.363,1.009
8,在您选择留学院校和专业的过程中，以下学术因素是否影响了您的决策，重要性如何?,"Did the following academic factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",6,导师的学术声誉（如没有导师，请选0）,"The advisor's academic reputation (if there is no advisor, please select ""Not Applicable"").",,0,3,8,13,16,4.05,0.959
9,请评价以下描述与您相符的程度,"Please rate the following statements on a scale from 1 - 5, with 1 being strongly disagree and 5 being strongly agree.",1,留学开销（学费和生活费）给我的家庭带来了很大压力,The cost of overseas study (tuition fee and living cost) put a lot of pressure on my family,,3,30,36,10,2,2.728,0.822
9,请评价以下描述与您相符的程度,"Please rate the following statements on a scale from 1 - 5, with 1 being strongly disagree and 5 being strongly agree.",2,我的家庭承担留学开销（学费和生活费）无压力,My family can afford to study abroad to cover the costs of overseas study (tuition and living cost) without stress,,4,8,47,21,1,3.086,0.778
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,留学的时间成本（预期毕业所需时长）,Expected time cost for graduation of the program,,4,11,15,41,9,3.5,1.031
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,学费,Tuition fee,,1,8,37,26,8,3.4,0.851
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,奖学金机会,Scholarship opportunities,,3,20,28,17,12,3.188,1.092
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,课程设计符合我的兴趣（如空间分析、城市计算、遥感等）,"The courses design fit my interests (e.g., spatial analysis, urban computing, remote sensing, etc.).",,1,1,8,32,39,4.321,0.804
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,选课自由度,Flexibility of course selection,,5,15,22,29,10,3.296,1.101
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",6,教学质量和师生比,Teaching quality and faculty-student ratio,,3,9,22,34,13,3.556,1.012
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",7,课程难度和同学竞争压力,Course difficulty and peer pressures,,5,6,25,37,8,3.457,0.988
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",8,在这里学习能提高我的英语水平,My English can be improved throughout the program,,4,12,21,36,7,3.375,1.011
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",9,学习期间的实习机会,Internship opportunities,,3,14,16,34,12,3.481,1.073
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",10,学习期间的科研机会,Research opportunities,,3,5,7,38,28,4.025,1.012
10,在您选择留学院校和专业的过程中，以下项目因素是否影响了您的决策，重要性如何？,"Did the following program-related factors influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",11,学习期间担任助教的机会,Opportunity to work as a teaching assistant,,1,17,29,20,10,3.273,0.995
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,1,空间分析,Spatial analysis,,3,2,15,30,31,4.037,1.006
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,2,城市计算/城市信息学,Urban computing/Urban informatics,,2,6,14,25,34,4.025,1.06
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,3,遥感,Remote sensing,,3,17,33,16,12,3.21,1.057
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,4,制图学/可视化分析,Cartography/Geo-visualization,,5,7,22,27,20,3.617,1.135
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,5,GIS应用/WebGIS,GIS applications/WebGIS,,4,11,19,29,18,3.568,1.128
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,6,自然地理/生态学/地质学,Physical Geography/Ecology/Geology,,11,23,25,14,8,2.815,1.174
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,7,人文地理/经济地理,Human geography/Economic geography,,7,20,24,19,11,3.086,1.175
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,8,可持续发展,Sustainable development,,6,13,26,23,13,3.296,1.145
11,在您选择留学院校和专业的过程中，对以下各专业方向的兴趣如何?,What topics are you interested in when choosing your study abroad institutions and programs?,9,数据科学,Data science,,3,2,16,23,37,4.099,1.044
